ID,no_financial_services,other_only,mm_only,mm_plus
2352,0.0019686096,0.004858359,0.18764637,0.8055267
8208,0.023130046,0.05045458,0.16188683,0.7645286
2785,0.0024797,0.011755837,0.089465305,0.8962991
2967,0.2833079,0.65119505,0.017370574,0.04812646
1697,0.0014920648,0.0026127794,0.07390687,0.92198825
4794,0.026522405,0.06314977,0.17792086,0.732407
2675,0.030690411,0.0459493,0.14770105,0.7756592
2989,0.0012306356,0.0036979022,0.1582528,0.83681864
1634,0.3550423,0.35897818,0.11483472,0.17114477
4147,0.028245352,0.05615023,0.1863092,0.7292952
8003,0.038489465,0.13170493,0.075062975,0.7547426
1058,0.24974516,0.4049857,0.08043922,0.26482987
8172,0.37121052,0.528441,0.039830137,0.06051839
2640,0.32861948,0.5815332,0.023863964,0.06598335
1233,0.004810633,0.004716937,0.038640685,0.9518317
8632,0.0018571395,0.0054378044,0.21811678,0.7745882
4548,0.037524547,0.13992356,0.1768549,0.645697
1032,0.38004002,0.36926895,0.085986026,0.16470498
270,0.00300492,0.008852412,0.07908886,0.90905386
5516,0.025834119,0.32088223,0.0975953,0.5556883
1289,0.000925892,0.0043863966,0.113963425,0.88072425
376,0.2871423,0.29174167,0.07649524,0.34462076
5856,0.0007386704,0.0022662273,0.039065763,0.9579293
2588,0.0025219033,0.0033911816,0.063631944,0.93045497
1348,0.0007300623,0.0041272347,0.082783625,0.91235906
8391,0.0008127061,0.0061400677,0.061859168,0.9311881
2616,0.3769523,0.5192196,0.032010663,0.07181744
5154,0.003712928,0.00587705,0.23656799,0.75384206
869,0.33134153,0.55838406,0.025292084,0.08498231
6625,0.28612804,0.6368944,0.019526243,0.05745135
1423,0.005456919,0.03982036,0.28193498,0.6727878
2276,0.06433785,0.037576042,0.19147302,0.70661306
4252,0.04739445,0.20519675,0.0980636,0.64934516
1311,0.001956032,0.0060803466,0.060523145,0.9314405
1534,0.002097746,0.003519049,0.052030396,0.94235283
4059,0.0012771105,0.0064767865,0.11507942,0.8771667
970,0.41277227,0.4571589,0.0551115,0.07495736
1712,0.023874577,0.040488545,0.16873926,0.7668977
588,0.0028856143,0.008841132,0.15990901,0.82836425
252,0.005876397,0.023688193,0.08379293,0.8866425
2204,0.41848367,0.53383476,0.021425033,0.026256533
6038,0.20619354,0.5669148,0.064997815,0.16189389
64,0.00079395465,0.0015205096,0.043448187,0.95423734
1873,0.0005896598,0.002256067,0.023082329,0.9740719
1627,0.51330936,0.43089858,0.020144334,0.035647757
1052,0.004707287,0.008767126,0.19984873,0.7866768
1391,0.0009775816,0.0038636054,0.0636573,0.9315015
4800,0.002933588,0.0087060165,0.14598513,0.8423753
3958,0.0015583393,0.0043955063,0.18944684,0.8045993
4351,0.0013754948,0.002548628,0.091598295,0.9044776
241,0.0014637529,0.005249775,0.074032955,0.91925347
6626,0.003940114,0.007526931,0.22496374,0.76356924
1948,0.0014753012,0.0037854938,0.18325454,0.81148463
6748,0.23794927,0.5358023,0.06437328,0.16187513
14,0.036762305,0.034312148,0.09850147,0.83042413
1709,0.0073384056,0.006197029,0.1747741,0.81169045
6893,0.0025880677,0.0053512743,0.09874076,0.8933199
6183,0.42931515,0.47364044,0.034205917,0.06283843
4650,0.46223104,0.48938906,0.022972886,0.025407014
4039,0.26264107,0.58131844,0.065152474,0.090888046
566,0.0031164014,0.0041777333,0.019078743,0.97362715
5108,0.00089597906,0.0039723204,0.017719498,0.9774122
378,0.0012987306,0.0015787795,0.07681271,0.9203098
2374,0.00066660735,0.0010879493,0.02487601,0.9733695
5703,0.022341853,0.011490179,0.0859415,0.88022643
365,0.01301092,0.041396044,0.25069448,0.69489855
3048,0.030416574,0.118180886,0.16019304,0.6912095
363,0.0037648156,0.014271279,0.11543044,0.86653346
6190,0.03868296,0.06880311,0.18772775,0.70478624
4505,0.025731158,0.03134125,0.17275469,0.77017295
1513,0.0008650635,0.0061341664,0.06622275,0.926778
3475,0.0049451916,0.0072755986,0.18048528,0.8072939
768,0.14680387,0.07103012,0.20384076,0.5783253
4673,0.03319407,0.039147176,0.159464,0.7681948
2924,0.0032850201,0.009074991,0.112093054,0.87554693
5199,0.0032210406,0.008660764,0.07326919,0.914849
6079,0.029198362,0.027376756,0.21653873,0.72688615
39,0.0061743865,0.0066653555,0.19097434,0.79618585
3518,0.0018097509,0.0065014577,0.13764223,0.8540465
1576,0.25972676,0.45052478,0.08324304,0.20650539
835,0.0024520855,0.00389347,0.13715106,0.8565034
1356,0.4500217,0.4988598,0.025051976,0.026066534
1355,0.0015514533,0.0032979874,0.14016053,0.85499
7353,0.0286179,0.05127633,0.2912418,0.628864
1894,0.3825665,0.433422,0.06898139,0.11503012
5722,0.0012599216,0.0029199822,0.07663837,0.91918176
6712,0.0032835728,0.020160278,0.10568062,0.8708755
9172,0.043247756,0.19688913,0.08176986,0.67809325
258,0.0029831822,0.007615367,0.21010044,0.779301
1023,0.40535474,0.1990253,0.21734278,0.17827721
674,0.021248193,0.025261218,0.33260816,0.6208824
2230,0.32132298,0.43537167,0.09478245,0.14852288
